Token: 0, Lexema: inteiro, Descrição: Tipo inteiro
Token: 29, Lexema: x, Descrição: Identificador
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 1, Lexema: real, Descrição: Tipo real
Token: 29, Lexema: y, Descrição: Identificador
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 2, Lexema: se, Descrição: Início de estrutura condicional (se)
Token: 29, Lexema: x, Descrição: Identificador
Token: 18, Lexema: >, Descrição: Operador de comparação maior que (>)
Token: 30, Lexema: 10, Descrição: Número inteiro
Token: 3, Lexema: entao, Descrição: Bloco a ser executado se a condição for verdadeira (então)
Token: 9, Lexema: mostrar, Descrição: Comando de saída (mostrar)
Token: 29, Lexema: x, Descrição: Identificador
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 4, Lexema: senao, Descrição: Bloco a ser executado se a condição for falsa (senao)
Token: 8, Lexema: ler, Descrição: Comando de entrada (ler)
Token: 29, Lexema: x, Descrição: Identificador
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 32, Lexema: EOF, Descrição: Fim do arquivo
